DATE,PCRGMP17820
2001-01-01,40158
2002-01-01,40579
2003-01-01,40592
2004-01-01,41165
2005-01-01,42370
2006-01-01,40979
2007-01-01,40729
2008-01-01,39646
2009-01-01,40224
2010-01-01,40775
2011-01-01,41106
2012-01-01,40886
2013-01-01,40290
2014-01-01,39076
2015-01-01,39421
2016-01-01,39328
2017-01-01,39905
