DATE,PCRGMP39380
2001-01-01,26828
2002-01-01,26476
2003-01-01,26964
2004-01-01,28582
2005-01-01,26721
2006-01-01,26334
2007-01-01,26252
2008-01-01,26420
2009-01-01,25971
2010-01-01,25806
2011-01-01,25764
2012-01-01,26324
2013-01-01,25664
2014-01-01,26177
2015-01-01,26329
2016-01-01,26746
2017-01-01,27237
