DATE,PCRGMP14500
2001-01-01,58444
2002-01-01,55842
2003-01-01,57472
2004-01-01,59594
2005-01-01,60736
2006-01-01,60366
2007-01-01,62970
2008-01-01,62370
2009-01-01,62145
2010-01-01,64108
2011-01-01,64720
2012-01-01,65511
2013-01-01,64366
2014-01-01,66928
2015-01-01,67931
2016-01-01,68275
2017-01-01,70077
