DATE,PCRGMP22660
2001-01-01,37378
2002-01-01,39084
2003-01-01,39110
2004-01-01,39169
2005-01-01,39038
2006-01-01,39074
2007-01-01,39997
2008-01-01,38838
2009-01-01,38628
2010-01-01,39592
2011-01-01,39469
2012-01-01,40368
2013-01-01,42300
2014-01-01,41042
2015-01-01,41075
2016-01-01,42105
2017-01-01,43820
