DATE,PCRGMP24300
2001-01-01,33189
2002-01-01,34337
2003-01-01,34186
2004-01-01,33193
2005-01-01,35079
2006-01-01,36174
2007-01-01,38413
2008-01-01,39795
2009-01-01,35692
2010-01-01,34082
2011-01-01,33159
2012-01-01,33112
2013-01-01,32602
2014-01-01,33186
2015-01-01,32125
2016-01-01,31038
2017-01-01,31938
