DATE,PCRGMP19740
2001-01-01,59117
2002-01-01,58530
2003-01-01,58709
2004-01-01,58995
2005-01-01,61359
2006-01-01,61311
2007-01-01,60781
2008-01-01,61371
2009-01-01,59488
2010-01-01,59201
2011-01-01,58867
2012-01-01,59678
2013-01-01,59328
2014-01-01,61649
2015-01-01,63166
2016-01-01,62947
2017-01-01,64379
